"time","heatCapacitor.T","filter.y","idealPump.V_flow","idealPump.w","pipe.Q_flow","pipe.volumeFlow","pipe.V_flow","prescribedHeatFlow.Q_flow","speed.w"
420,322.9976287228622,18.46607199524362,1.621802670610288,1.457498087840937,18.46596856886549,1.621802670610288,1.621802670610288,18.46607199524362,1.457498087840937
420,322.9976287228622,18.46607199524362,1.621802670610288,1.457498087840937,18.46596856886549,1.621802670610288,1.621802670610288,18.46607199524362,1.457498087840937
422.9919764394356,322.9976925854311,18.23218415130016,1.568961483645326,1.422490465428895,18.23216336811549,1.568961483645326,1.568961483645326,18.23218415130016,1.422490465428895
422.9919764394356,322.9976925854311,18.23218415130016,1.568961483645326,1.422490465428895,18.23216336811549,1.568961483645326,1.568961483645326,18.23218415130016,1.422490465428895
425,322.9977359409217,18.07421029317116,1.534482260483198,1.399562324579521,18.0741885567968,1.534482260483198,1.534482260483198,18.07421029317116,1.399562324579521
430,322.9978429578987,17.67778081057847,1.451904012956216,1.344355057706503,17.67775952778487,1.451904012956216,1.451904012956216,17.67778081057847,1.344355057706503
435,322.99794784328,17.27799534799956,1.373906238626676,1.291796223047545,17.27797480334118,1.373906238626676,1.373906238626676,17.27799534799956,1.291796223047545
440,322.9980493739838,16.87609327128937,1.300341979685524,1.2418166616533,16.87607313925287,1.300341979685524,1.300341979685524,16.87609327128937,1.2418166616533
445,322.9981471981047,16.47318793190681,1.231038690711849,1.194330693174486,16.47316885388256,1.231038690711849,1.231038690711849,16.47318793190681,1.194330693174486
450,322.9982404511998,16.07029328531339,1.165789714466352,1.149229302870279,16.07027511841778,1.165789714466352,1.165789714466352,16.07029328531339,1.149229302870279
450,322.9982404511998,16.07029328531339,1.165789714466352,1.149229302870279,16.07027511841778,1.165789714466352,1.165789714466352,16.07029328531339,1.149229302870279
455,322.9983294121194,15.66834416183928,1.104393224624819,1.106406144674302,15.66832688902804,1.104393224624819,1.104393224624819,15.66834416183928,1.106406144674302
460,322.9984135034834,15.26814270068682,1.046629532389829,1.065741347138434,15.26812581036126,1.046629532389829,1.046629532389829,15.26814270068682,1.065741347138434
