"time","heatCapacitor.T","filter.y","idealPump.V_flow","idealPump.w","pipe.Q_flow","pipe.volumeFlow","pipe.V_flow","prescribedHeatFlow.Q_flow","speed.w"
0,293.15,0,0,-0,0,0,0,0,-0
0,293.15,0,0,-0,0,0,0,0,-0
0,293.15,0,0,-0,0,0,0,0,-0
2.414768249387873e-010,293.15,-8.117782289935492e-028,0,-0,0,0,0,-8.117782289935492e-028,-0
2.414768249387873e-010,293.15,-8.117782289935492e-028,0,-0,0,0,0,-8.117782289935492e-028,-0
30,293.1499999999264,-4.241674428167264e-012,0,-0,-4.547473508864641e-013,0,0,-4.241674428167264e-012,-0
30,293.1499999999264,-4.241674428167264e-012,0,-0,-4.547473508864641e-013,0,0,-4.241674428167264e-012,-0
60,293.1499999996665,-1.233095481517234e-011,0,-0,-1.13686837721616e-012,0,0,-1.233095481517234e-011,-0
60,293.1499999996665,-1.233095481517234e-011,0,-0,-1.13686837721616e-012,0,0,-1.233095481517234e-011,-0
90,293.1499999991507,-2.217143125988175e-011,0,-0,-2.103206497849897e-012,0,0,-2.217143125988175e-011,-0
90,293.1499999991507,-2.217143125988175e-011,0,-0,-2.103206497849897e-012,0,0,-2.217143125988175e-011,-0
120,294.6760772297841,0.2171763853149291,0,-0,0.01957327943961218,0,0,0.2171763853149291,-0
120,294.6760772297841,0.2171763853149291,0,-0,0.01957327943961218,0,0,0.2171763853149291,-0
150,313.0833737886088,1.243053973778279,0,-0,0.1126487951233344,0,0,1.243053973778279,-0
150,313.0833737886088,1.243053973778279,0,-0,0.1126487951233344,0,0,1.243053973778279,-0
157.9721323512946,323.3575348077123,1.592619580212024,1.000000303686553e-010,7.07109388564664e-006,0.1444197080823528,1.000000303686553e-010,1.000000303686553e-010,1.592619580212024,7.07109388564664e-006
157.9721323512946,323.3575348077123,1.592619580212024,1.000000303686553e-010,7.07109388564664e-006,0.1444197080823528,1.000000303686553e-010,1.000000303686553e-010,1.592619580212024,7.07109388564664e-006
158.1290610077866,323.5484761681541,1.599527088405348,0.1000000001122828,0.2511083812497046,1.107711010335493,0.1000000001122828,0.1000000001122828,1.599527088405348,0.2511083812497046
158.1290610077866,323.5484761681541,1.599527088405348,0.1000000001122828,0.2511083812497046,1.107711010335493,0.1000000001122828,0.1000000001122828,1.599527088405348,0.2511083812497046
158.5343096079405,321.0156499691327,1.617353365265518,0.09999999988255576,0.2511083809268419,8.112698737856022,0.09999999988255576,0.09999999988255576,1.617353365265518,0.2511083809268419
158.5343096079405,321.0156499691327,1.617353365265518,0.09999999988255576,0.2511083809268419,8.112698737856022,0.09999999988255576,0.09999999988255576,1.617353365265518,0.2511083809268419
160.7434813596196,323.5253798088489,1.714113398616285,0.1000000001101917,0.2511083812467659,1.595067003809788,0.1000000001101917,0.1000000001101917,1.714113398616285,0.2511083812467659
160.7434813596196,323.5253798088489,1.714113398616285,0.1000000001101917,0.2511083812467659,1.595067003809788,0.1000000001101917,0.1000000001101917,1.714113398616285,0.2511083812467659
161.1431996993807,320.9631824177662,1.731520789209018,0.09999999988393432,0.2511083809287793,8.214467356166381,0.09999999988393432,0.09999999988393432,1.731520789209018,0.2511083809287793
161.1431996993807,320.9631824177662,1.731520789209018,0.09999999988393432,0.2511083809287793,8.214467356166381,0.09999999988393432,0.09999999988393432,1.731520789209018,0.2511083809287793
163.2597981789854,323.5555300182939,1.822995242079424,0.1000000001103269,0.2511083812469558,1.503461970509989,0.1000000001103269,0.1000000001103269,1.822995242079424,0.2511083812469558
163.2597981789854,323.5555300182939,1.822995242079424,0.1000000001103269,0.2511083812469558,1.503461970509989,0.1000000001103269,0.1000000001103269,1.822995242079424,0.2511083812469558
163.664961900653,320.9107635663526,1.840348803922223,0.09999999988441437,0.251108380929454,8.302265642403199,0.09999999988441437,0.09999999988441437,1.840348803922223,0.251108380929454
163.664961900653,320.9107635663526,1.840348803922223,0.09999999988441437,0.251108380929454,8.302265642403199,0.09999999988441437,0.09999999988441437,1.840348803922223,0.251108380929454
165.7062022297812,323.58292876119,1.926847051148586,0.1000000001103258,0.2511083812469543,1.43482012909061,0.1000000001103258,0.1000000001103258,1.926847051148586,0.2511083812469543
165.7062022297812,323.58292876119,1.926847051148586,0.1000000001103258,0.2511083812469543,1.43482012909061,0.1000000001103258,0.1000000001103258,1.926847051148586,0.2511083812469543
166.1162348301411,320.8615364186526,1.944014927401964,0.09999999988901888,0.2511083809359253,8.38080280525395,0.09999999988901888,0.09999999988901888,1.944014927401964,0.2511083809359253
166.1162348301411,320.8615364186526,1.944014927401964,0.09999999988901888,0.2511083809359253,8.38080280525395,0.09999999988901888,0.09999999988901888,1.944014927401964,0.2511083809359253
168.0934249892923,323.6082646817185,2.025681642059271,0.1000000001112762,0.2511083812482899,1.381287084609824,0.1000000001112762,0.1000000001112762,2.025681642059271,0.2511083812482899
168.0934249892923,323.6082646817185,2.025681642059271,0.1000000001112762,0.2511083812482899,1.381287084609824,0.1000000001112762,0.1000000001112762,2.025681642059271,0.2511083812482899
168.5078920686934,320.8150492221003,2.042547733435377,0.09999999988602777,0.2511083809317215,8.451163450681577,0.09999999988602777,0.09999999988602777,2.042547733435377,0.2511083809317215
168.5078920686934,320.8150492221003,2.042547733435377,0.09999999988602777,0.2511083809317215,8.451163450681577,0.09999999988602777,0.09999999988602777,2.042547733435377,0.2511083809317215
170.430224710871,323.6318651634074,2.11949995989819,0.1000000001119434,0.2511083812492277,1.337666318343395,0.1000000001119434,0.1000000001119434,2.11949995989819,0.2511083812492277
170.430224710871,323.6318651634074,2.11949995989819,0.1000000001119434,0.2511083812492277,1.337666318343395,0.1000000001119434,0.1000000001119434,2.11949995989819,0.2511083812492277
170.848774989227,320.7712899250042,2.135959711785669,0.09999999988146648,0.251108380925311,8.514311047613035,0.09999999988146648,0.09999999988146648,2.135959711785669,0.251108380925311
170.848774989227,320.7712899250042,2.135959711785669,0.09999999988146648,0.251108380925311,8.514311047613035,0.09999999988146648,0.09999999988146648,2.135959711785669,0.251108380925311
172.7237526684559,323.6539168375967,2.20828654700993,0.1000000001100798,0.2511083812466085,1.302759376331892,0.1000000001100798,0.1000000001100798,2.20828654700993,0.2511083812466085
172.7237526684559,323.6539168375967,2.20828654700993,0.1000000001100798,0.2511083812466085,1.302759376331892,0.1000000001100798,0.1000000001100798,2.20828654700993,0.2511083812466085
173.146090121089,320.7301871459181,2.224244502529374,0.09999999988153853,0.2511083809254122,8.571987844529645,0.09999999988153853,0.09999999988153853,2.224244502529374,0.2511083809254122
173.146090121089,320.7301871459181,2.224244502529374,0.09999999988153853,0.2511083809254122,8.571987844529645,0.09999999988153853,0.09999999988153853,2.224244502529374,0.2511083809254122
174.9797352978421,323.6746108593582,2.292004993901431,0.1000000001100758,0.2511083812466029,1.272417673318842,0.1000000001100758,0.1000000001100758,2.292004993901431,0.2511083812466029
174.9797352978421,323.6746108593582,2.292004993901431,0.1000000001100758,0.2511083812466029,1.272417673318842,0.1000000001100758,0.1000000001100758,2.292004993901431,0.2511083812466029
175.4055956845597,320.6915249558803,2.307372946551931,0.09999999987586165,0.2511083809174338,8.622795720874024,0.09999999987586165,0.09999999987586165,2.307372946551931,0.2511083809174338
175.4055956845597,320.6915249558803,2.307372946551931,0.09999999987586165,0.2511083809174338,8.622795720874024,0.09999999987586165,0.09999999987586165,2.307372946551931,0.2511083809174338
177.20357573157,323.6938295065863,2.370630417810437,0.1000000001113565,0.2511083812484029,1.248598984924399,0.1000000001113565,0.1000000001113565,2.370630417810437,0.2511083812484029
177.20357573157,323.6938295065863,2.370630417810437,0.1000000001113565,0.2511083812484029,1.248598984924399,0.1000000001113565,0.1000000001113565,2.370630417810437,0.2511083812484029
177.6326592197058,320.6552750785808,2.38532413021741,0.09999999987995385,0.2511083809231851,8.668559353890657,0.09999999987995385,0.09999999987995385,2.38532413021741,0.2511083809231851
177.6326592197058,320.6552750785808,2.38532413021741,0.09999999987995385,0.2511083809231851,8.668559353890657,0.09999999987995385,0.09999999987995385,2.38532413021741,0.2511083809231851
178.1439213150947,320.984786644104,2.402622374060212,-2.346085575505488e-168,-0,0.2495290295958625,-2.346085575505488e-168,-2.346085575505488e-168,2.402622374060212,-0
178.1439213150947,320.984786644104,2.402622374060212,-2.346085575505488e-168,-0,0.2495290295958625,-2.346085575505488e-168,-2.346085575505488e-168,2.402622374060212,-0
179.4572563714954,323.8454183934196,2.446002072806007,0.1000000001112589,0.2511083812482657,1.176472529966247,0.1000000001112589,0.1000000001112589,2.446002072806007,0.2511083812482657
179.4572563714954,323.8454183934196,2.446002072806007,0.1000000001112589,0.2511083812482657,1.176472529966247,0.1000000001112589,0.1000000001112589,2.446002072806007,0.2511083812482657
179.8971286412896,320.2175682396127,2.460194461500279,0.09999999988326475,0.2511083809278383,9.212550135070956,0.09999999988326475,0.09999999988326475,2.460194461500279,0.2511083809278383
179.8971286412896,320.2175682396127,2.460194461500279,0.09999999988326475,0.2511083809278383,9.212550135070956,0.09999999988326475,0.09999999988326475,2.460194461500279,0.2511083809278383
180,319.8857721239409,2.463489449433632,-2.177667250177649e-173,-0,3.172314788491235,-2.177667250177649e-173,-2.177667250177649e-173,2.463489449433632,-0
180,319.8857721239409,2.463489449433632,-2.177667250177649e-173,-0,3.172314788491235,-2.177667250177649e-173,-2.177667250177649e-173,2.463489449433632,-0
181.8706319831179,323.825551917995,2.521830765384525,0.1000000001103439,0.2511083812469797,1.193374568083698,0.1000000001103439,0.1000000001103439,2.521830765384525,0.2511083812469797
181.8706319831179,323.825551917995,2.521830765384525,0.1000000001103439,0.2511083812469797,1.193374568083698,0.1000000001103439,0.1000000001103439,2.521830765384525,0.2511083812469797
182.3108227844938,320.2902494249116,2.53513093780944,0.0999999998814409,0.251108380925275,9.124310951128393,0.0999999998814409,0.0999999998814409,2.53513093780944,0.251108380925275
182.3108227844938,320.2902494249116,2.53513093780944,0.0999999998814409,0.251108380925275,9.124310951128393,0.0999999998814409,0.0999999998814409,2.53513093780944,0.251108380925275
184.1638427059663,323.7537023189497,2.589368570024183,0.1000000001104046,0.251108381247065,1.191873396687186,0.1000000001104046,0.1000000001104046,2.589368570024183,0.251108381247065
184.1638427059663,323.7537023189497,2.589368570024183,0.1000000001104046,0.251108381247065,1.191873396687186,0.1000000001104046,0.1000000001104046,2.589368570024183,0.251108381247065
184.6020360271151,320.5337655603741,2.6017868589913,0.09999999988318979,0.2511083809277329,8.818491018496616,0.09999999988318979,0.09999999988318979,2.6017868589913,0.2511083809277329
184.6020360271151,320.5337655603741,2.6017868589913,0.09999999988318979,0.2511083809277329,8.818491018496616,0.09999999988318979,0.09999999988318979,2.6017868589913,0.2511083809277329
186.3007121961996,323.7622099026662,2.648484776395387,0.1000000001117521,0.2511083812489588,1.176939549146766,0.1000000001117521,0.1000000001117521,2.648484776395387,0.2511083812489588
186.3007121961996,323.7622099026662,2.648484776395387,0.1000000001117521,0.2511083812489588,1.176939549146766,0.1000000001117521,0.1000000001117521,2.648484776395387,0.2511083812489588
186.741000971611,320.5261863816502,2.660219673276638,0.09999999987680218,0.2511083809187557,8.824097052857326,0.09999999987680218,0.09999999987680218,2.660219673276638,0.2511083809187557
186.741000971611,320.5261863816502,2.660219673276638,0.09999999987680218,0.2511083809187557,8.824097052857326,0.09999999987680218,0.09999999987680218,2.660219673276638,0.2511083809187557
188.4116219063524,323.7750770078561,2.703392851412399,0.1000000001123957,0.2511083812498633,1.165440390968854,0.1000000001123957,0.1000000001123957,2.703392851412399,0.2511083812498633
188.4116219063524,323.7750770078561,2.703392851412399,0.1000000001123957,0.2511083812498633,1.165440390968854,0.1000000001123957,0.1000000001123957,2.703392851412399,0.2511083812498633
188.8540864761263,320.5028591168128,2.71447340900724,0.099999999874216,0.251108380915121,8.847346546370886,0.099999999874216,0.099999999874216,2.71447340900724,0.251108380915121
188.8540864761263,320.5028591168128,2.71447340900724,0.099999999874216,0.251108380915121,8.847346546370886,0.099999999874216,0.099999999874216,2.71447340900724,0.251108380915121
190.5070343490574,323.7874823619388,2.75458359279267,0.1000000001114332,0.2511083812485106,1.155991494482805,0.1000000001114332,0.1000000001114332,2.75458359279267,0.2511083812485106
190.5070343490574,323.7874823619388,2.75458359279267,0.1000000001114332,0.2511083812485106,1.155991494482805,0.1000000001114332,0.1000000001114332,2.75458359279267,0.2511083812485106
190.9515044711321,320.4797609348086,2.765028139860557,0.09999999988800322,0.2511083809344978,8.874478254521648,0.09999999988800322,0.09999999988800322,2.765028139860557,0.2511083809344978
190.9515044711321,320.4797609348086,2.765028139860557,0.09999999988800322,0.2511083809344978,8.874478254521648,0.09999999988800322,0.09999999988800322,2.765028139860557,0.2511083809344978
192.589129016443,323.7990436536036,2.802288917557375,0.1000000001115603,0.2511083812486893,1.14459337732319,0.1000000001115603,0.1000000001115603,2.802288917557375,0.2511083812486893
192.589129016443,323.7990436536036,2.802288917557375,0.1000000001115603,0.2511083812486893,1.14459337732319,0.1000000001115603,0.1000000001115603,2.802288917557375,0.2511083812486893
193.0355227423963,320.4588571291237,2.81211700633714,0.09999999988563579,0.2511083809311706,8.894620455694849,0.09999999988563579,0.09999999988563579,2.81211700633714,0.2511083809311706
193.0355227423963,320.4588571291237,2.81211700633714,0.09999999988563579,0.2511083809311706,8.894620455694849,0.09999999988563579,0.09999999988563579,2.81211700633714,0.2511083809311706
194.6591161279712,323.8098323575266,2.846699705482857,0.1000000001134405,0.2511083812513318,1.137327876096208,0.1000000001134405,0.1000000001134405,2.846699705482857,0.2511083812513318
194.6591161279712,323.8098323575266,2.846699705482857,0.1000000001134405,0.2511083812513318,1.137327876096208,0.1000000001134405,0.1000000001134405,2.846699705482857,0.2511083812513318
195.1072182414172,320.4387962946227,2.855927423517313,0.09999999987417232,0.2511083809150596,8.918781049880181,0.09999999987417232,0.09999999987417232,2.855927423517313,0.2511083809150596
195.1072182414172,320.4387962946227,2.855927423517313,0.09999999987417232,0.2511083809150596,8.918781049880181,0.09999999987417232,0.09999999987417232,2.855927423517313,0.2511083809150596
196.7186566050222,323.8197590961923,2.888001584461598,0.1000000001133852,0.251108381251254,1.13126498813466,0.1000000001133852,0.1000000001133852,2.888001584461598,0.251108381251254
196.7186566050222,323.8197590961923,2.888001584461598,0.1000000001133852,0.251108381251254,1.13126498813466,0.1000000001133852,0.1000000001133852,2.888001584461598,0.251108381251254
197.1683890771702,320.4205311217991,2.89664734936836,0.09999999988732591,0.2511083809335459,8.935225113158765,0.09999999988732591,0.09999999988732591,2.89664734936836,0.2511083809335459
197.1683890771702,320.4205311217991,2.89664734936836,0.09999999988732591,0.2511083809335459,8.935225113158765,0.09999999988732591,0.09999999988732591,2.89664734936836,0.2511083809335459
198.7684771239449,323.8290809132392,2.926347931150592,0.1000000001130628,0.2511083812508009,1.125083075374221,0.1000000001130628,0.1000000001130628,2.926347931150592,0.2511083812508009
198.7684771239449,323.8290809132392,2.926347931150592,0.1000000001130628,0.2511083812508009,1.125083075374221,0.1000000001130628,0.1000000001130628,2.926347931150592,0.2511083812508009
199.2196985583261,320.4034486650368,2.934428487617319,0.0999999998850153,0.2511083809302985,8.954492839852321,0.0999999998850153,0.0999999998850153,2.934428487617319,0.2511083809302985
199.2196985583261,320.4034486650368,2.934428487617319,0.0999999998850153,0.2511083809302985,8.954492839852321,0.0999999998850153,0.0999999998850153,2.934428487617319,0.2511083809302985
200.809636257037,323.837685373341,2.961888180984821,0.1000000001145656,0.251108381252913,1.118406499666094,0.1000000001145656,0.1000000001145656,2.961888180984821,0.251108381252913
200.809636257037,323.837685373341,2.961888180984821,0.1000000001145656,0.251108381252913,1.118406499666094,0.1000000001145656,0.1000000001145656,2.961888180984821,0.251108381252913
